TF	Target	rank	confidence	stroke	stroke-width	stroke-dasharray
E2f4	Riok3	-0.13115	-0.063264	rgb(203,209,219)	1.425	2,2
Ebf1	Nfkbie	0.13115	0.0095002	rgb(217,215,215)	1.5583	2,2
Egr2	Slc6a6	-0.13115	-0.017029	rgb(213,215,218)	1.425	2,2
Egr2	Tns1	0.13115	0.0063789	rgb(217,216,216)	1.5583	2,2
Elf1	Sh2b1	-0.13115	-0.043238	rgb(208,211,219)	1.425	2,2
Esrra	Nfat5	0.13115	0.01786	rgb(217,214,214)	1.5583	2,2
Etv1	Lta	0.13115	0.0089636	rgb(217,215,215)	1.5583	2,2
Etv2	Tyms	0.13115	0.028855	rgb(217,211,212)	1.5583	2,2
Etv4	Rpl24	0.13115	0.012908	rgb(217,215,215)	1.5583	2,2
Fosl2	Nt5e	0.13115	0.015123	rgb(217,214,214)	1.5583	2,2
Foxb1	Fam3c	-0.13115	-0.019763	rgb(213,214,218)	1.425	2,2
Foxc1	Ralb	-0.13115	-0.033097	rgb(210,213,218)	1.425	2,2
Foxc1	Tgfbr1	0.13115	0.051306	rgb(218,207,207)	1.5583	2,2
Foxf2	Pmepa1	-0.13115	-0.035865	rgb(209,212,218)	1.425	2,2
Foxn3	Abcb1b	-0.13115	-0.014524	rgb(214,215,218)	1.425	2,2
Foxp3	Acad9	-0.13115	-0.028325	rgb(211,213,218)	1.425	2,2
Gabpa	Sdcbp2	-0.13115	-0.021107	rgb(212,214,218)	1.425	2,2
Gata1	Clybl	0.13115	0.037992	rgb(217,210,210)	1.5583	None
Gata3	Maoa	-0.13115	-0.017953	rgb(213,215,218)	1.425	None
Gli3	Mical1	0.13115	0.010047	rgb(217,215,215)	1.5583	2,2
Gzf1	Ccl4	0.13115	0.01656	rgb(217,214,214)	1.5583	2,2
Hdx	Krtcap2	-0.13115	-0.090766	rgb(197,205,220)	1.425	None
Hmga1_Hmga1-rs1	Prickle1	-0.13115	-0.0069956	rgb(215,216,217)	1.425	2,2
Hmx3	Epc1	-0.13115	-0.0095835	rgb(215,216,217)	1.425	2,2
Hoxb1	Antxr2	0.13115	0.0080968	rgb(217,215,215)	1.5583	2,2
Hoxb1	Dclre1a	-0.13115	-0.053978	rgb(205,210,219)	1.425	2,2
Hoxd11	Tnfsf4	0.13115	0.063732	rgb(218,205,205)	1.5583	2,2
Hoxd4	Syne1	0.13115	0.015416	rgb(217,214,214)	1.5583	2,2
Ikzf3	Gadd45g	0.13115	0.029413	rgb(217,211,211)	1.5583	2,2
Ikzf3	Ldlrap1	0.13115	0.036865	rgb(217,210,210)	1.5583	2,2
Irf2	Inpp1	0.13115	0.044208	rgb(217,209,209)	1.5583	2,2
