TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Zbtb46	Tmem120b	0.72544	0.62793	rgb(224, 97, 98)	1.8585	2,2
Tal2	Tnfrsf13c	0.72433	0.60754	rgb(224,101,102)	1.858	2,2
Ankzf1	3110057O12Rik	0.72352	0.51172	rgb(223,119,120)	1.8576	2,2
E2f1	Rps14	-0.72331	-0.63099	rgb( 80,134,241)	1.1121	2,2
Sp3	Spred3	0.72297	0.73394	rgb(225, 77, 78)	1.8573	2,2
Stat2	Gbp8	0.72262	0.69011	rgb(225, 85, 87)	1.8571	2,2
Foxo1	Gm6225	0.72221	0.78287	rgb(226, 67, 69)	1.8569	2,2
Hif1a	H2-Ab1	0.72084	0.44139	rgb(222,133,134)	1.8562	2,2
Klf4	Rcan3	0.72056	0.74618	rgb(225, 74, 76)	1.856	2,2
Trp53	Ccng1	0.72055	0.60652	rgb(224,101,102)	1.856	2,2
Stat3	Flot1	0.72038	0.53415	rgb(223,115,116)	1.8559	2,2
Yy2	Utp20	0.71986	0.69725	rgb(225, 84, 85)	1.8557	2,2
Sp2	Hspb11	0.71965	0.59123	rgb(224,104,105)	1.8556	2,2
Srebf1	Coro7	0.71934	0.49032	rgb(222,123,124)	1.8554	2,2
Msx2	Cox17	-0.71864	-0.55657	rgb( 96,144,238)	1.1145	2,2
Cic	Il9	0.7184	0.45668	rgb(222,130,131)	1.8549	2,2
Zfp365	Sulf2	0.71807	0.6371	rgb(224, 95, 97)	1.8547	2,2
Trp53	Tcf7l1	-0.71792	-0.59429	rgb( 88,139,240)	1.1149	2,2
Hey1	Tmed3	-0.71664	-0.70031	rgb( 65,125,244)	1.1156	2,2
Foxf2	Dbt	0.71613	0.64424	rgb(224, 94, 95)	1.8537	2,2
Rela	Tnk2	-0.716	-0.46585	rgb(116,156,235)	1.1159	2,2
Cic	Tgm2	0.71566	0.52192	rgb(223,117,118)	1.8535	2,2
Irf1	Ddx60	0.7156	0.38838	rgb(221,143,144)	1.8535	2,2
Hes1	Plxna1	0.71549	0.65443	rgb(224, 92, 93)	1.8534	2,2
Ascl2	Rpl36al	-0.71518	-0.59633	rgb( 88,138,240)	1.1163	2,2
Stat3	Sbno2	0.71517	0.59633	rgb(224,103,104)	1.8533	2,2
Meis3	Serpinb6b	0.71424	0.76555	rgb(225, 71, 72)	1.8528	2,2
Hif1a	Rab39	0.7131	0.6738	rgb(224, 88, 90)	1.8522	None
Rela	Ptpn1	-0.71279	-0.7472	rgb( 55,118,245)	1.1175	None
Stat3	Socs3	0.71214	0.52497	rgb(223,117,118)	1.8517	2,2
E2f4	Gen1	0.71189	0.5525	rgb(223,111,113)	1.8516	2,2
Foxf2	Gfod1	0.71175	0.74822	rgb(225, 74, 76)	1.8515	2,2
Klf9	Syf2	-0.71156	-0.60652	rgb( 85,137,240)	1.1182	2,2
Zfhx3	Nrp1	0.71101	0.70846	rgb(225, 82, 83)	1.8511	2,2
Ascl2	Dpm3	-0.71078	-0.66157	rgb( 73,130,242)	1.1186	2,2
Rela	Nsun6	0.70996	0.86748	rgb(227, 51, 53)	1.8506	2,2
Klf5	Mapkapk2	0.70977	0.71152	rgb(225, 81, 83)	1.8505	2,2
Rfx1	Txndc17	0.70975	0.65036	rgb(224, 93, 94)	1.8505	2,2
Zbtb46	Rhod	0.70826	0.6157	rgb(224, 99,101)	1.8497	2,2
Hes1	Gart	0.70813	0.63405	rgb(224, 96, 97)	1.8496	2,2
Klf5	Plscr3	0.70797	0.737	rgb(225, 76, 78)	1.8495	2,2
E2f4	Arhgap33	0.70768	0.69011	rgb(225, 85, 87)	1.8494	2,2
Dot1l	Acot13	-0.70677	-0.65341	rgb( 75,131,242)	1.1206	2,2
Elk3	Aldh3a2	0.70657	0.54434	rgb(223,113,114)	1.8488	2,2
Stat2	BC094916	0.7058	0.53211	rgb(223,115,116)	1.8484	2,2
Sp3	Pafah1b3	0.70553	0.70336	rgb(225, 83, 84)	1.8483	2,2
Stat1	Dtx3l	0.70521	0.58104	rgb(223,106,107)	1.8481	2,2
Ikzf2	Hist2h4	0.70506	0.75331	rgb(225, 73, 75)	1.848	2,2
Sox6	Bend4	0.70451	0.69827	rgb(225, 84, 85)	1.8478	2,2
Fosl1	Tgm2	0.70443	0.52294	rgb(223,117,118)	1.8477	2,2
Tead3	Srgn	0.70422	0.7105	rgb(225, 81, 83)	1.8476	2,2
Insm1	Jak3	0.70411	0.59225	rgb(224,104,105)	1.8476	2,2
E2f1	Srgn	-0.70402	-0.71356	rgb( 62,123,244)	1.1221	2,2
Fos	Tubb6	0.70242	0.56779	rgb(223,109,110)	1.8467	2,2
Sp3	Bend3	-0.70235	-0.59633	rgb( 88,138,240)	1.1229	2,2
Foxo1	Cdkn1b	0.70204	0.4791	rgb(222,125,126)	1.8465	2,2
Tcf3	Mocos	0.70197	0.52497	rgb(223,117,118)	1.8465	2,2
Hif1a	P4hb	0.70195	0.74618	rgb(225, 74, 76)	1.8464	2,2
Sp3	Dhrs1	0.70093	0.54842	rgb(223,112,113)	1.8459	2,2
Zbtb46	Dlc1	0.70077	0.60347	rgb(224,102,103)	1.8458	2,2
Nr1h2_Nr1h3	Nfatc1	0.70006	0.76656	rgb(225, 71, 72)	1.8455	2,2
E2f1	Wee1	0.69985	0.56881	rgb(223,108,109)	1.8454	2,2
Hif1a	Slc2a1	0.69981	0.62793	rgb(224, 97, 98)	1.8453	2,2
Fosl1	Pstpip1	0.69938	0.68094	rgb(224, 87, 88)	1.8451	2,2
Creb5	Hist3h2a	0.69878	0.48216	rgb(222,125,126)	1.8448	2,2
Klf4	Mapk3	0.69878	0.43425	rgb(222,134,135)	1.8448	2,2
Fli1	Gen1	-0.69831	-0.55352	rgb( 97,144,238)	1.125	2,2
