TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Fosl1	Tgm2	0.69146	0.51724	rgb(223,118,119)	1.8427	2,2
Hif1a	Slc2a1	0.69141	0.53448	rgb(223,115,116)	1.8427	2,2
Ikzf4	Abcb1b	0.69135	0.87931	rgb(227, 49, 51)	1.8426	2,2
Nr3c1	Commd9	0.69112	0.51724	rgb(223,118,119)	1.8425	2,2
Zbtb46	Cd70	0.69074	0.60345	rgb(224,102,103)	1.8423	2,2
Zfhx3	Riok3	-0.68629	-0.58621	rgb( 90,140,239)	1.1402	2,2
Fosl1	Sec14l1	0.68612	0.62069	rgb(224, 98,100)	1.84	2,2
Foxo1	Tmem71	0.68599	0.72414	rgb(225, 79, 80)	1.8399	2,2
Irf9	Parp9	0.68554	0.51724	rgb(223,118,119)	1.8397	2,2
Srebf1	Anln	0.68458	0.46552	rgb(222,128,129)	1.8392	2,2
Pou2af1	Arl4c	0.68453	0.68966	rgb(225, 85, 87)	1.8392	2,2
Foxp4	Cnnm3	0.68438	0.44828	rgb(222,131,132)	1.8391	2,2
Stat3	Socs3	0.68365	0.44828	rgb(222,131,132)	1.8387	2,2
Ascl2	Exosc8	-0.68338	-0.67241	rgb( 71,128,243)	1.1417	2,2
Egr3	Ralb	-0.68312	-0.7069	rgb( 64,124,244)	1.1418	2,2
Nfkb2	Ccdc50	0.68272	0.62069	rgb(224, 98,100)	1.8382	2,2
Foxo1	Ccng2	0.6826	0.63793	rgb(224, 95, 96)	1.8382	2,2
Zbtb7b	Rps6ka3	0.68214	0.65517	rgb(224, 92, 93)	1.8379	2,2
Sp2	Gatm	0.68073	0.68966	rgb(225, 85, 87)	1.8372	2,2
Egr1	Ripk1	-0.67738	-0.41379	rgb(127,162,233)	1.1448	2,2
Nfatc2	Ccdc50	0.67734	0.62069	rgb(224, 98,100)	1.8355	2,2
Tcf12	Inpp5b	0.6766	0.55172	rgb(223,112,113)	1.8351	2,2
Elf1	Ppcdc	0.67655	0.60345	rgb(224,102,103)	1.8351	2,2
Fosl1	Adrb2	-0.67603	-0.67241	rgb( 71,128,243)	1.1455	2,2
Nhlh1	Gpr146	0.67584	0.7069	rgb(225, 82, 83)	1.8347	2,2
Irf4	Psme1	0.67571	0.48276	rgb(222,125,126)	1.8347	2,2
Sp3	Arrb1	0.6744	0.48276	rgb(222,125,126)	1.834	2,2
Srebf1	Mical1	0.67297	0.58621	rgb(223,105,106)	1.8333	2,2
Ascl2	Sh2d3c	0.67205	0.7069	rgb(225, 82, 83)	1.8328	2,2
Zfp958	Ccng1	0.67158	0.44828	rgb(222,131,132)	1.8325	2,2
Sp2	Decr1	0.67092	0.5	rgb(223,122,123)	1.8322	2,2
Zfp263	Ncdn	-0.67068	-0.65517	rgb( 75,131,242)	1.1482	2,2
Cic	Itpk1	0.67059	0.51724	rgb(223,118,119)	1.832	2,2
Stat4	Ctla2a	0.67052	0.7069	rgb(225, 82, 83)	1.832	2,2
Klf7	Ascc1	0.66941	0.62069	rgb(224, 98,100)	1.8314	2,2
Klf5	Rpl36al	-0.66927	-0.75862	rgb( 52,117,246)	1.1489	2,2
Pparg	Sf3b3	0.66901	0.51724	rgb(223,118,119)	1.8312	2,2
Stat3	Rgs1	0.6687	0.58621	rgb(223,105,106)	1.8311	2,2
Foxo1	Cdkn1b	0.66823	0.62069	rgb(224, 98,100)	1.8308	2,2
Elf1	Ctsb	-0.6677	-0.74138	rgb( 56,119,245)	1.1497	2,2
Vdr	Cdk16	0.66716	0.58621	rgb(223,105,106)	1.8303	2,2
Rela	Stambp	0.66707	0.63793	rgb(224, 95, 96)	1.8303	2,2
Batf	Bmpr1a	0.66666	0.55172	rgb(223,112,113)	1.83	2,2
Pou2f2	Impdh1	-0.66659	-0.53448	rgb(101,146,237)	1.1503	2,2
Irf2	Ifi203	0.66534	0.62069	rgb(224, 98,100)	1.8294	2,2
Klf10	Acsbg1	0.66527	0.56897	rgb(223,108,109)	1.8293	2,2
Zfp148	Klf13	0.66416	0.7931	rgb(226, 66, 67)	1.8288	2,2
Nr1i3	Glipr1	-0.66395	-0.62069	rgb( 82,135,241)	1.1516	2,2
Sp3	Dhrs1	0.66367	0.62069	rgb(224, 98,100)	1.8285	2,2
Klf4	Anxa2	0.6632	0.65517	rgb(224, 92, 93)	1.8283	2,2
