TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Setdb2	St8sia6	0.3142	41.3	0.301	rgb(220,159,160)	1.812	2,2
Tshz2	St8sia6	-0.3142	41.3	-3.0E-01	rgb(151,177,229)	1.812	2,2
Tead1	Spsb1	-0.31062	41.28	-2.8E-01	rgb(157,181,227)	1.8116	2,2
Zfp296	Ss18	-0.31062	41.28	-2.8E-01	rgb(156,180,228)	1.8116	2,2
Zfp354c	Srsf12	0.31062	41.28	0.28	rgb(220,164,164)	1.8116	2,2
Zfp618	Sqle	0.31062	41.28	0.276	rgb(220,164,165)	1.8116	2,2
Klf13	Stambp	-0.30704	41.27	-2.7E-01	rgb(159,182,227)	1.8114	None
Rreb1	Src	0.30704	41.27	0.274	rgb(220,165,165)	1.8114	None
Trp53	Srpk1	-0.30704	41.27	-2.7E-01	rgb(158,181,227)	1.8114	2,2
Gata1	Stac2	0.30346	41.26	0.264	rgb(220,167,167)	1.8112	2,2
Gata3	Srpk1	0.30346	41.26	0.256	rgb(220,168,169)	1.8112	None
Hdx	Sspo	0.29988	41.25	0.254	rgb(220,168,169)	1.811	2,2
Mbnl2	Srsf12	0.2963	41.23	0.226	rgb(219,174,174)	1.8106	2,2
E4f1	Srpk1	0.29272	41.19	0.195	rgb(219,180,180)	1.8098	None
Zfhx3	St18	0.28914	41.18	0.184	rgb(219,182,182)	1.8096	2,2
Hmx2	Sptlc1	-0.28556	41.16	-1.6E-01	rgb(183,196,223)	1.8092	None
Rxra	Src	0.28198	41.15	0.151	rgb(219,188,188)	1.809	None
Bcl11b	St14	0.2784	41.14	0.141	rgb(219,190,190)	1.8088	2,2
Maff	St7	-0.27481	41.13	-1.3E-01	rgb(190,200,222)	1.8086	None
Nfat5	Stap1	0.27481	41.13	0.127	rgb(218,193,193)	1.8086	None
Sgsm2	Spsb1	-0.27481	41.13	-1.3E-01	rgb(189,200,222)	1.8086	2,2
Zbtb1	Srpk2	0.27123	41.1	0.101	rgb(218,198,198)	1.808	2,2
Zbtb3	Srgap3	0.27123	41.1	0.104	rgb(218,197,197)	1.808	2,2
Zfp879	Srsf12	0.26765	41.08	0.08	rgb(218,202,202)	1.8076	2,2
Gabpa	Stac2	-0.26407	41.06	-5.9E-02	rgb(204,209,219)	1.8072	None
Irf7	Sptlc1	-0.26407	41.06	-6.0E-02	rgb(204,209,219)	1.8072	None
Zeb1	Srpk2	-0.26049	41.03	-3.2E-02	rgb(210,213,218)	1.8066	None
Rest	Src	0.25691	41.02	0.019	rgb(217,213,213)	1.8064	None
Irf4	St3gal5	0.25333	40.52	0.522	rgb(223,117,118)	1.7963	None
Mga	Sspo	0.25034	40.43	0.426	rgb(222,136,137)	1.7945	2,2
Zfp148	St14	-0.24734	40.41	-4.1E-01	rgb(128,163,233)	1.7941	2,2
Zfp628	Ssbp4	-0.24435	40.39	-3.9E-01	rgb(132,165,232)	1.7937	2,2
Cbx2	St3gal5	0.24135	40.36	0.365	rgb(221,147,148)	1.7931	2,2
Zfp719	Srpk1	-0.23836	40.35	-3.5E-01	rgb(140,170,230)	1.7929	2,2
Creb3l1	Stambp	0.23536	40.32	0.322	rgb(221,155,156)	1.7923	2,2
Nr1h2	Sqle	-0.23536	40.32	-3.2E-01	rgb(147,175,229)	1.7923	2,2
Peg3	St6galnac1	0.23536	40.32	0.322	rgb(221,155,156)	1.7923	2,2
Zfp219	St3gal5	0.23237	40.31	0.305	rgb(220,159,159)	1.7921	None
Zbtb44	St6galnac1	-0.22937	40.28	-2.8E-01	rgb(155,179,228)	1.7915	2,2
Zfp345	St18	0.22937	40.28	0.275	rgb(220,164,165)	1.7915	2,2
Nr1d1	Stambp	-0.22638	40.26	-2.6E-01	rgb(162,183,227)	1.7911	2,2
Klf10	Srpx2	0.22638	40.26	0.184	rgb(219,182,182)	1.7911	2,2
Klf11	Srpx2	0.22638	40.26	0.184	rgb(219,182,182)	1.7911	2,2
Msc	Srxn1	-0.22338	40.25	-2.5E-01	rgb(163,184,226)	1.7909	2,2
Foxp1	St3gal5	0.22338	40.25	0.184	rgb(219,182,182)	1.7909	2,2
Foxp2	St3gal5	0.22338	40.25	0.184	rgb(219,182,182)	1.7909	2,2
Foxp4	St3gal5	0.22338	40.25	0.184	rgb(219,182,182)	1.7909	2,2
Lhx6	St14	0.22039	40.23	0.226	rgb(219,174,174)	1.7904	2,2
Elf1	Ss18	0.21739	40.2	0.2	rgb(219,179,179)	1.7898	None
Foxp2	Spsb4	0.2144	40.19	0.189	rgb(219,181,181)	1.7896	2,2
Egr2	St7	-0.2114	40.16	-1.6E-01	rgb(182,195,223)	1.789	None
Zbtb32	Ss18	-0.2114	40.16	-1.6E-01	rgb(183,196,223)	1.789	2,2
