TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Pou6f1	St18	-0.27988	41.32	-3.2E-01	rgb(148,175,229)	1.8116	2,2
Rfx3	Srpk1	-0.27708	41.29	-2.9E-01	rgb(153,178,228)	1.811	None
Zfp827	Srgn	-0.27708	41.29	-2.9E-01	rgb(154,179,228)	1.811	2,2
Pknox1	Ss18	0.27427	41.27	0.272	rgb(220,165,166)	1.8106	2,2
Gtf2ird1	St6galnac1	0.27146	41.25	0.255	rgb(220,168,169)	1.8102	2,2
Mlxipl	Stac2	-0.26865	41.24	-2.4E-01	rgb(165,185,226)	1.81	2,2
Ncoa1	Ssh2	0.26585	41.23	0.23	rgb(220,173,174)	1.8098	2,2
Cebpg	St3gal1	-0.26304	41.22	-2.2E-01	rgb(169,188,225)	1.8096	2,2
Trp53	St6galnac1	-0.26023	41.21	-2.1E-01	rgb(171,189,225)	1.8094	2,2
Smad4	Stambp	-0.25743	41.15	-1.5E-01	rgb(185,197,223)	1.8082	2,2
Zfp869	Sqle	-0.25462	41.14	-1.4E-01	rgb(188,199,222)	1.808	2,2
Thra	Stap1	-0.25181	41.13	-1.3E-01	rgb(189,200,222)	1.8078	None
Zfp955b	St3gal5	-0.25181	41.13	-1.3E-01	rgb(190,200,222)	1.8078	2,2
Vdr	Sspo	-0.24901	41.12	-1.2E-01	rgb(191,201,222)	1.8076	None
Six5	Srgap3	-0.2462	41.06	-5.8E-02	rgb(204,209,219)	1.8064	None
Elk4	Sptlc1	0.24339	41.05	0.05	rgb(218,208,208)	1.8062	None
Foxn2	Srpk2	0.24058	41.04	0.035	rgb(217,210,210)	1.806	2,2
Gtf2ird1	Srpk2	-0.24058	41.04	-4.3E-02	rgb(208,211,219)	1.806	None
Gm5595	Srsf12	-0.23778	40.41	-4.1E-01	rgb(129,163,232)	1.7933	2,2
Elf1	Ss18	0.23488	40.39	0.391	rgb(221,142,143)	1.7929	None
Litaf	St8sia6	0.23198	40.37	0.375	rgb(221,145,146)	1.7925	2,2
Gtf2ird1	Stab1	-0.22908	40.35	-3.5E-01	rgb(141,171,230)	1.7921	2,2
Hmx2	Sptlc1	-0.22618	40.3	-3.0E-01	rgb(151,177,229)	1.7911	None
Bhlhe40	St3gal1	-0.22329	40.28	-2.8E-01	rgb(157,180,228)	1.7907	None
Twist1	St3gal5	0.22039	40.27	0.272	rgb(220,165,166)	1.7905	2,2
Sgsm2	Spsb1	-0.21749	40.26	-2.6E-01	rgb(161,183,227)	1.7903	2,2
Klf10	Sspo	0.21749	40.26	0.171	rgb(219,184,185)	1.7903	2,2
Klf11	Sspo	0.21749	40.26	0.171	rgb(219,184,185)	1.7903	2,2
Klf5	Stap1	-0.21459	40.24	-2.4E-01	rgb(164,185,226)	1.7899	None
Zfp709	Sptlc1	0.21459	40.24	0.245	rgb(220,170,171)	1.7899	2,2
L3mbtl3	Spsb1	0.21169	40.23	0.227	rgb(219,174,174)	1.7897	2,2
Hoxb1	Stac2	0.20879	40.22	0.224	rgb(219,174,175)	1.7895	2,2
Stat5b	Srgap3	-0.20589	40.21	-2.1E-01	rgb(171,189,225)	1.7893	2,2
Tcf7l1	Srxn1	-0.20589	40.21	-2.1E-01	rgb(171,189,225)	1.7893	None
Irf4	Srgn	0.203	40.2	0.197	rgb(219,179,180)	1.789	None
Irf4	Spsb4	0.2001	40.19	0.188	rgb(219,181,181)	1.7888	None
Zfp184	Sptlc1	-0.2001	40.19	-1.9E-01	rgb(176,192,224)	1.7888	2,2
Irf5	Srgn	0.1972	40.18	0.18	rgb(219,183,183)	1.7886	None
Gm13242	Spsb4	0.1943	40.17	0.174	rgb(219,184,184)	1.7884	2,2
Foxn3	Srpk1	0.1914	40.16	0.163	rgb(219,186,186)	1.7882	2,2
Stat3	Srgn	0.1885	40.13	0.127	rgb(218,193,193)	1.7876	None
