TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Insm1	Jak3	0.70844	0.52947	rgb(223,116,117)	1.8494	2,2
Sp2	Fbxo18	0.70752	0.53684	rgb(223,114,116)	1.849	2,2
Foxo1	Gm6225	0.70679	0.79368	rgb(226, 65, 67)	1.8486	2,2
Zfp263	Lrrc59	-0.70564	-0.66421	rgb( 73,129,242)	1.1192	2,2
Bcl6	Acot11	0.70563	0.53368	rgb(223,115,116)	1.848	2,2
Hif1a	H2-Ab1	0.70402	0.55158	rgb(223,112,113)	1.8472	None
Mxd1	Csrnp1	0.70378	0.71158	rgb(225, 81, 83)	1.847	None
Sp3	Parp16	0.70374	0.65263	rgb(224, 92, 94)	1.847	2,2
Bcl6	Wwp1	0.70371	0.89368	rgb(227, 46, 48)	1.847	2,2
Stat4	Bcl2	0.70314	0.80211	rgb(226, 64, 65)	1.8467	2,2
Elf1	Rap1gds1	-0.70285	-0.50421	rgb(108,150,236)	1.1207	2,2
Sp3	Agl	0.70259	0.63263	rgb(224, 96, 97)	1.8464	2,2
Pou2f2	Spata6	0.7025	0.65158	rgb(224, 93, 94)	1.8464	2,2
Fos	Tubb6	0.70249	0.54842	rgb(223,112,113)	1.8464	2,2
Mga	Il12rb2	0.70145	0.66	rgb(224, 91, 92)	1.8458	2,2
Zfp281	Foxp4	0.70115	0.48211	rgb(222,125,126)	1.8457	2,2
Irf4	Cpox	-0.70096	-0.70842	rgb( 63,123,244)	1.1216	2,2
Stat4	Ecm1	0.70094	0.60211	rgb(224,102,103)	1.8456	2,2
Jund	Areg	0.70079	0.43474	rgb(222,134,135)	1.8455	2,2
Stat4	Bcl3	0.70054	0.37789	rgb(221,145,146)	1.8454	2,2
Rest	Dcxr	0.70051	0.71158	rgb(225, 81, 83)	1.8453	2,2
Elf1	Il2rb	-0.69962	-0.58737	rgb( 90,139,239)	1.1223	2,2
Elf1	M6pr	0.6996	0.58842	rgb(223,105,106)	1.8449	2,2
Klf4	Nudt18	0.69784	0.60105	rgb(224,102,103)	1.844	2,2
E2f1	Ptpn11	0.69766	0.56632	rgb(223,109,110)	1.8439	2,2
Stat3	Klf3	-0.69714	-0.80632	rgb( 42,111,248)	1.1236	2,2
Irf4	Epsti1	0.69604	0.60316	rgb(224,102,103)	1.843	2,2
Ascl2	Naca	-0.69472	-0.73579	rgb( 57,120,245)	1.1249	2,2
Hif1a	Ppme1	0.69409	0.71895	rgb(225, 80, 81)	1.842	2,2
Irf5	Clec2i	0.69371	0.60947	rgb(224,101,102)	1.8418	2,2
Batf	Bid	-0.69367	-0.76526	rgb( 51,116,246)	1.1254	2,2
Tet1	Pcdh7	0.69364	0.71263	rgb(225, 81, 82)	1.8418	2,2
Tal2	Fermt2	0.69295	0.67579	rgb(224, 88, 89)	1.8414	2,2
Stat3	Gata3	-0.69225	-0.68842	rgb( 68,126,243)	1.1261	2,2
Irf8	Tor3a	0.69198	0.72842	rgb(225, 78, 79)	1.8409	2,2
Fosl1	Dpy19l3	0.69189	0.56421	rgb(223,109,110)	1.8409	2,2
Foxq1	Sema4d	-0.69144	-0.59684	rgb( 87,138,240)	1.1266	2,2
Foxq1	Vav1	-0.69114	-0.79158	rgb( 45,113,247)	1.1267	2,2
E2f4	Mxd3	0.69098	0.40105	rgb(221,140,141)	1.8404	2,2
Klf5	Jak3	0.69031	0.52947	rgb(223,116,117)	1.8401	2,2
Klf7	Mdn1	-0.68995	-0.62	rgb( 82,135,241)	1.1273	2,2
Hey1	Aldoa	-0.68992	-0.58316	rgb( 90,140,239)	1.1273	2,2
Tcf3	Epsti1	0.68986	0.60632	rgb(224,101,102)	1.8398	2,2
Zfp263	Acot13	0.68959	0.63158	rgb(224, 96, 98)	1.8397	2,2
Stat2	Gbp7	0.68918	0.51053	rgb(223,119,121)	1.8395	2,2
Sp3	Pafah1b3	0.68869	0.73368	rgb(225, 77, 78)	1.8392	2,2
Dach2	Crispld2	0.68865	0.61263	rgb(224,100,101)	1.8392	2,2
Mef2b	Nfatc2	-0.6886	-0.60316	rgb( 86,137,240)	1.128	2,2
Egr4	Brd3	0.68729	0.66947	rgb(224, 89, 90)	1.8385	2,2
Nr3c1	Tsr2	0.68726	0.60211	rgb(224,102,103)	1.8385	2,2
Tal2	Tnfrsf13c	0.68713	0.62947	rgb(224, 97, 98)	1.8384	2,2
Mef2d	Pag1	0.68669	0.88632	rgb(227, 48, 49)	1.8382	2,2
Prdm1	Cox17	0.68645	0.53789	rgb(223,114,115)	1.8381	2,2
Zfp365	Sulf2	0.68564	0.63579	rgb(224, 96, 97)	1.8377	2,2
Pou2f2	Trim12c	0.68556	0.43684	rgb(222,134,134)	1.8376	2,2
Klf5	Prpsap2	-0.68499	-0.61789	rgb( 83,135,240)	1.1299	2,2
