TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
E2f4	Dtl	0.64265	0.53352	rgb(223,115,116)	1.8196	2,2
Ikzf4	Abcb1b	0.6415	0.87518	rgb(227, 50, 52)	1.819	2,2
E2f4	Rfwd3	0.63983	0.56419	rgb(223,109,110)	1.8181	2,2
Stat4	Ikzf4	0.63956	0.66833	rgb(224, 89, 91)	1.818	2,2
Zscan10	Exosc8	0.63955	0.60628	rgb(224,101,102)	1.818	2,2
Foxf2	Nudt4	0.63946	0.81954	rgb(226, 60, 62)	1.8179	2,2
Klf10	Kctd14	0.63924	0.68973	rgb(225, 85, 87)	1.8178	2,2
Zfp263	Sra1	0.63785	0.69757	rgb(225, 84, 85)	1.8171	2,2
Sp3	Nfil3	0.63775	0.74108	rgb(225, 75, 77)	1.8171	2,2
Lin54	Anln	0.63692	0.49501	rgb(222,122,123)	1.8167	2,2
Foxo3	Dynll2	-0.63687	-0.77033	rgb( 50,115,246)	1.1735	2,2
Thap1	Dffb	0.63682	0.76248	rgb(225, 71, 73)	1.8166	2,2
Etv6	Spata6	-0.63616	-0.56491	rgb( 94,142,238)	1.1738	2,2
Hes1	Cd47	-0.63604	-0.54208	rgb( 99,145,238)	1.1739	2,2
Hmg20b	Abcd3	0.63563	0.72967	rgb(225, 78, 79)	1.816	2,2
Batf	Cysltr1	0.63527	0.55207	rgb(223,112,113)	1.8158	2,2
Pou2f2	C2cd2l	-0.63513	-0.60842	rgb( 85,137,240)	1.1743	2,2
Stat3	Sesn1	-0.63444	-0.79529	rgb( 44,112,247)	1.1747	2,2
Zbtb32	Perp	0.63353	0.801	rgb(226, 64, 66)	1.8149	2,2
Zfp385a	Ptp4a3	0.63342	0.82525	rgb(226, 59, 61)	1.8149	2,2
Tcf3	Naga	0.63313	0.68759	rgb(225, 86, 87)	1.8147	2,2
Cic	Ptprj	0.63304	0.81954	rgb(226, 60, 62)	1.8147	2,2
Rara	Klf3	0.63298	0.70043	rgb(225, 83, 85)	1.8147	2,2
Zfp385a	Psrc1	0.63229	0.53352	rgb(223,115,116)	1.8143	2,2
Klf5	Mapkapk2	0.63206	0.65692	rgb(224, 92, 93)	1.8142	2,2
Smad3	Dst	0.63138	0.72397	rgb(225, 79, 80)	1.8139	2,2
Nr1i3	Tnk2	0.63122	0.46862	rgb(222,127,128)	1.8138	None
Cic	Itpk1	0.63058	0.58631	rgb(223,105,106)	1.8135	2,2
Jdp2	Mdn1	0.62969	0.61412	rgb(224,100,101)	1.813	2,2
Ar	Sra1	0.62957	0.6933	rgb(225, 85, 86)	1.813	2,2
Irf4	Psme1	0.6287	0.62054	rgb(224, 98,100)	1.8125	2,2
Foxn2	Rasgrp1	0.62862	0.72825	rgb(225, 78, 79)	1.8125	2,2
Irf9	Ifit3	0.62803	0.74608	rgb(225, 74, 76)	1.8122	2,2
Sp3	Cdc25b	0.62702	0.56705	rgb(223,109,110)	1.8117	2,2
Cic	Tgm2	0.62638	0.52354	rgb(223,117,118)	1.8113	2,2
Irf4	Sfmbt2	0.62577	0.597	rgb(224,103,104)	1.811	None
Egr1	Acad8	0.62513	0.71041	rgb(225, 81, 83)	1.8107	2,2
Klf4	Hexb	0.62498	0.69187	rgb(225, 85, 86)	1.8106	2,2
Jund	Dpp4	0.62425	0.55492	rgb(223,111,112)	1.8103	2,2
Klf7	Ascc1	0.62214	0.67618	rgb(224, 88, 89)	1.8092	2,2
Creb3l1	Tmed3	0.62103	0.61056	rgb(224,100,102)	1.8086	2,2
Lyl1_Tal2	Slc39a14	0.6209	0.62126	rgb(224, 98,100)	1.8086	2,2
Elf1	Ppcdc	0.62079	0.61341	rgb(224,100,101)	1.8085	2,2
Cebpb	Marcks	0.6202	0.69829	rgb(225, 84, 85)	1.8082	2,2
Egr1	Tpm1	0.62019	0.79173	rgb(226, 66, 67)	1.8082	2,2
Foxq1	Arhgef3	0.62013	0.76819	rgb(225, 70, 72)	1.8082	2,2
Klf4	Rras	0.62003	0.56277	rgb(223,110,111)	1.8081	2,2
Stat4	Cndp2	0.61965	0.72539	rgb(225, 78, 80)	1.8079	2,2
Tef	Galnt3	0.61926	0.86163	rgb(226, 52, 54)	1.8077	None
Gabpa	Smyd5	0.61846	0.60128	rgb(224,102,103)	1.8073	2,2
Irf2	Ifi203	0.61822	0.73538	rgb(225, 77, 78)	1.8072	2,2
Klf4	Ndrg2	0.61809	0.59914	rgb(224,103,104)	1.8072	2,2
Sp3	Arrb1	0.61793	0.49857	rgb(222,122,123)	1.8071	2,2
Stat3	Rnf149	0.61607	0.73538	rgb(225, 77, 78)	1.8061	2,2
E2f4	C2cd2l	0.61532	0.597	rgb(224,103,104)	1.8058	2,2
Zbtb7b	Tmbim1	-0.61511	-0.81241	rgb( 41,110,248)	1.1844	2,2
Srf	Lime1	0.61502	0.63837	rgb(224, 95, 96)	1.8056	2,2
Elf1	Cln6	-0.61496	-0.69044	rgb( 67,126,243)	1.1845	2,2
Stat3	Adarb1	0.61448	0.8766	rgb(227, 50, 51)	1.8053	2,2
Zfp958	Ccng1	0.61416	0.58845	rgb(223,105,106)	1.8052	2,2
Hif3a	Srgn	0.61407	0.83096	rgb(226, 58, 60)	1.8051	2,2
Klf4	Trib3	0.61346	0.77889	rgb(226, 68, 70)	1.8048	2,2
Hhex	Itpr1	0.61318	0.98359	rgb(228, 29, 31)	1.8047	2,2
Klf10	Tgfbr1	0.613	0.62696	rgb(224, 97, 99)	1.8046	2,2
Zfp263	Fau	0.61244	0.65692	rgb(224, 92, 93)	1.8043	2,2
Irf4	Rap1gds1	-0.61233	-0.56633	rgb( 94,142,239)	1.1858	2,2
Erg	Mvp	0.61218	0.81883	rgb(226, 61, 62)	1.8042	2,2
Myc	Dram2	-0.61103	-0.7311	rgb( 58,120,245)	1.1865	2,2
Irf5	Samsn1	0.6107	0.72896	rgb(225, 78, 79)	1.8034	2,2
Klf4	Dhrs1	0.60953	0.69757	rgb(225, 84, 85)	1.8028	2,2
Zfx	Auh	-0.60814	-0.66619	rgb( 72,129,242)	1.188	2,2
Zfp35	Mmachc	0.6072	0.72468	rgb(225, 79, 80)	1.8017	2,2
Klf4	Cdkn1b	0.60714	0.57703	rgb(223,107,108)	1.8016	2,2
Sox5	Rgs1	0.60667	0.74608	rgb(225, 74, 76)	1.8014	2,2
Sp2	Gatm	0.60613	0.63623	rgb(224, 95, 97)	1.8011	2,2
Yy2	Hexb	-0.60576	-0.6883	rgb( 68,126,243)	1.1892	2,2
Srebf2	Mapk11	0.6052	0.57775	rgb(223,107,108)	1.8006	2,2
Stat3	Rorc	0.60494	0.69116	rgb(225, 85, 86)	1.8005	2,2
Zfx	Atp6v1g1	-0.60454	-0.69971	rgb( 65,125,244)	1.1898	2,2
Tfdp2	Oxct1	0.60451	0.72468	rgb(225, 79, 80)	1.8003	2,2
Fbxl19	Wrnip1	0.60436	0.78459	rgb(226, 67, 69)	1.8002	2,2
Tcf12	Cpox	0.60427	0.69686	rgb(225, 84, 85)	1.8002	2,2
Hmg20b	Aqp3	-0.60413	-0.64479	rgb( 77,132,242)	1.19	2,2
Zfp263	Gzmb	0.60349	0.72539	rgb(225, 78, 80)	1.7998	2,2
Fosl1	Ccnd3	0.60262	0.67974	rgb(224, 87, 89)	1.7993	None
Hmga1_Hmga1-rs1	R3hdm1	0.60255	0.81526	rgb(226, 61, 63)	1.7993	2,2
Irf4	Afp	0.60251	0.69187	rgb(225, 85, 86)	1.7993	2,2
Zbtb33	Litaf	-0.60194	-0.71398	rgb( 62,123,244)	1.1911	2,2
Hoxd4	S1pr1	0.60147	0.66548	rgb(224, 90, 91)	1.7988	2,2
Hey1	Aldoa	-0.60127	-0.61555	rgb( 83,136,240)	1.1914	2,2
Tcf7l1	Eea1	0.5997	0.84379	rgb(226, 56, 58)	1.7979	2,2
Ash1l	Mdn1	0.59958	0.58845	rgb(223,105,106)	1.7978	2,2
Stat1	Flt3l	0.59944	0.65692	rgb(224, 92, 93)	1.7977	2,2
Egr2	Arrb1	0.59891	0.49215	rgb(222,123,124)	1.7975	2,2
Jund	Tspan3	0.59888	0.8117	rgb(226, 62, 64)	1.7975	2,2
Egr1	Prpsap2	0.59883	0.6719	rgb(224, 89, 90)	1.7974	2,2
Smad3	Ctla2b	0.59817	0.86519	rgb(227, 52, 53)	1.7971	2,2
Klf5	C2cd2l	0.59813	0.58702	rgb(223,105,106)	1.7971	2,2
Drap1	Rpl36al	0.5976	0.6669	rgb(224, 90, 91)	1.7968	2,2
Gabpa	Mdn1	0.59709	0.59914	rgb(224,103,104)	1.7965	2,2
Eea1	Ctsw	-0.59693	-0.72183	rgb( 60,122,244)	1.1936	2,2
Pou2f2	Sf3b3	-0.59614	-0.59344	rgb( 88,139,240)	1.194	2,2
Satb1	Gfi1	0.59601	0.83809	rgb(226, 57, 59)	1.796	2,2
Sp2	Nedd4	0.59588	0.72325	rgb(225, 79, 80)	1.7959	2,2
