TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Thap1	Klf13	-0.77651	-0.8133	rgb( 41,110,248)	1.1069	2,2
Stat4	Gpr146	0.77633	0.88412	rgb(227, 48, 50)	1.8876	2,2
Egr1	Syce2	0.77612	0.56438	rgb(223,109,110)	1.8875	2,2
E2f4	Tapbpl	-0.77591	-0.61803	rgb( 83,135,240)	1.1072	2,2
Klf12	Ccnd3	0.77584	0.91845	rgb(227, 42, 43)	1.8873	2,2
Junb	Cndp2	0.77523	0.78755	rgb(226, 67, 68)	1.887	2,2
Ski	Ifitm2	-0.77458	-0.60944	rgb( 85,137,240)	1.1079	2,2
Srf	Hist1h1c	0.77412	0.65236	rgb(224, 92, 94)	1.8864	2,2
Egr2	Scml4	0.77295	0.67811	rgb(224, 87, 89)	1.8859	2,2
Stat3	Flot1	0.77271	0.77253	rgb(225, 69, 71)	1.8857	2,2
Sox5	Timp1	-0.77257	-0.54077	rgb(100,146,238)	1.1089	2,2
Bach1	Il17a	-0.7725	-0.86695	rgb( 29,103,250)	1.1089	2,2
Egr2	Rgs14	0.77222	0.59013	rgb(223,104,105)	1.8855	2,2
Tcf3	Cd1d1	0.77139	0.46137	rgb(222,129,130)	1.8851	2,2
Zbtb7b	Ypel3	0.77039	0.79185	rgb(226, 66, 67)	1.8846	2,2
Fosl2	Ctla2a	0.77021	0.83047	rgb(226, 58, 60)	1.8845	2,2
Rel	Lif	0.77015	0.62661	rgb(224, 97, 99)	1.8844	2,2
Tef	Tcf12	-0.7691	-0.57082	rgb( 93,142,239)	1.1106	2,2
Klf7	Ralb	0.76807	0.7382	rgb(225, 76, 77)	1.8834	2,2
Klf2	Inpp5a	0.76803	0.80687	rgb(226, 63, 65)	1.8834	2,2
Batf	Ier3	0.76802	0.60086	rgb(224,102,103)	1.8834	2,2
Zfp219	Tnfsf11	0.76791	0.57296	rgb(223,108,109)	1.8833	2,2
Foxo1	Gnptab	-0.76732	-0.6588	rgb( 74,130,242)	1.1115	2,2
Stat3	Chm	0.7661	0.72747	rgb(225, 78, 80)	1.8824	2,2
Zfp148	Rrad	0.76555	0.54721	rgb(223,112,114)	1.8821	2,2
Zfp148	Fut8	-0.76504	-0.73391	rgb( 58,120,245)	1.1127	2,2
Sox4	Sfmbt2	0.76451	0.52361	rgb(223,117,118)	1.8816	2,2
Meis2	Icam2	0.76411	0.41202	rgb(222,138,139)	1.8814	2,2
Thap1	Tpm1	0.7639	0.54292	rgb(223,113,114)	1.8813	2,2
Bach1	Gripap1	0.76387	0.34335	rgb(221,151,152)	1.8813	2,2
Smad4	Txk	0.76335	0.69742	rgb(225, 84, 85)	1.881	2,2
