TF	Target	combined_confidence
Sp3	Sdcbp2	0.9923226094795131
Runx1	Dctn4	0.9923188219163555
Zfp62	Rps6ka4	0.9923188219163555
Drap1	Acin1	0.9922998841005674
Nfe2l2	Vps54	0.9922847338479369
Relb	Dgat1	0.992273371158464
Ash1l	Traf3	0.9922620084689913
Zeb2	Mcoln2	0.9922468582163607
Satb1	Socs3	0.9922430706532032
Zfpm1	Ctla2a	0.992235495526888
Fos	Retsat	0.9922317079637303
Zbed4	Cdc23	0.9922317079637303
Sp3	St7l	0.9922127701479422
Myc	Txk	0.9921862572058389
Gata3	Marcks	0.9921786820795236
Klf10	Spsb1	0.9921786820795236
Phf20	Tnfsf4	0.9921635318268932
Zfp703	Cebpb	0.9921445940111051
Ddit3	Prkca	0.9921370188847899
Sox4	Ms4a6c	0.9920499049321647
Stat5b	Uqcrq	0.9920309671163766
Irf9	Sepw1	0.9920158168637462
Satb1	Sertad1	0.991959003416382
Sp3	Mapk3	0.9919135526584906
Atf5	Tiparp	0.9918908272795449
Zfp426	Arf1	0.9918908272795449
Cdc5l	Serpinb9	0.9918832521532297
Zfp617	Dffb	0.9918718894637568
Zfp688	Tpd52	0.9918491640848112
Srebf1	Rdh11	0.9917203869374522
Mbd6	Tnrc6a	0.9917165993742946
Litaf	Marcksl1	0.9917014491216641
Hif3a	Ifi203	0.9916976615585065
Tcf4	Pnkd	0.991682511305876
Creb1	Ramp3	0.9916635734900879
Plagl2	Plk2	0.9916484232374575
Jun	Rab20	0.9915688844111475
Batf	Gap43	0.9915613092848323
Klf9	Gripap1	0.9915613092848323
Zbtb17	Dnmt3a	0.9915385839058867
Zbtb17	Sult2b1	0.9915158585269409
Fosl1	Tnnt2	0.9915044958374681
Zfp62	Fyco1	0.9915007082743105
Gabpa	Mecr	0.9914590450795767
Fosl2	Sytl2	0.9914514699532615
Mafg	Fundc2	0.9914514699532615
Cebpb	Tns1	0.9914476823901038
Klf6	Stx7	0.9914211694480005
Zhx1	Afp	0.9914135943216853
Bhlhe40	Plxnc1	0.9914098067585277
Arid2	Tle4	0.9913643560006363
Foxo3	Ulk2	0.9913643560006363
Dzip1	Rassf3	0.991307542553272
Rel	Ly6a	0.9912923923006416
Zfpm1	Il10	0.991288604737484
Stat1	Oasl2	0.9912734544848535
Irf9	Vps54	0.9912696669216959
Zfp202	Vamp4	0.9912658793585383
Zkscan1	Pdcd1lg2	0.9912280037269622
Mafg	Ctnna1	0.9912242161638045
Mga	Wdr1	0.9912052783480164
Zfp703	Plscr3	0.9912014907848589
Mafg	Psme1	0.991190128095386
Cebpz	Heatr1	0.9911711902795979
Rorc	Traf6	0.9911446773374946
Cc2d1a	Rps6ka4	0.9911295270848641
Gabpa	Stat5b	0.991110589269076
Irf4	Foxp1	0.9910765012006575
Atf2	Mfge8	0.9910689260743423
Klf6	Emp3	0.9910462006953966
Atf6	Ube2v1	0.9910007499375052
Cic	Inhba	0.9909666618690867
Mxd4	Ypel5	0.9909515116164562
Phf20	Osbpl2	0.990943936490141
Dmtf1	Rpn1	0.9909249986743529
Mga	Tax1bp3	0.9909212111111952
Rxra	Cox17	0.9909060608585648
Zfp202	Nudt4	0.9909060608585648
Klf6	Pde7a	0.9909022732954073
Satb1	Adck1	0.9909022732954073
Arid2	Prkca	0.9908984857322496
Zfx	Aldoa	0.9908946981690919
Plagl1	Jak3	0.990864397663831
Zfp703	Tapbpl	0.9908189469059396
Nhlh1	Mpp1	0.9908151593427821
Creb3l2	Dnmt3b	0.990796221526994
Gabpa	Zfp568	0.9907886464006788
Stat3	Slc39a1	0.9907621334585754
Zfp202	Hmgcl	0.9907583458954178
Ets2	Dusp2	0.9907431956427873
Atf2	Wisp1	0.9907394080796297
Zbtb45	Zfp7	0.9907242578269992
Eea1	Klf2	0.9907204702638417
Stat3	Tnip2	0.990716682700684
Relb	Map3k5	0.9906636568164774
Atf3	Serpinb9	0.9906522941270046
Mtf2	Bbc3	0.990648506563847
Terf1	Ptp4a1	0.9906106309322708
Aebp2	Ankmy2	0.9905879055533251
Zhx1	Mcoln2	0.990568967737537
Nfkb2	Id1	0.9905651801743794
Gtf2ird1	Runx2	0.9905576050480642
Mnt	Utp20	0.9905462423585913
Stat3	Trps1	0.9904780662217543
Pou2f2	Lrrc59	0.9904288279007053
E2f1	Exo1	0.9904136776480748
Hif3a	Sh3bp5	0.9904136776480748
Zfp426	Thap4	0.9904136776480748
Plagl2	Rcsd1	0.9903871647059714
E2f1	Tyms	0.9903795895796562
Egr3	Mgst3	0.9903795895796562
Zfp568	Prpsap2	0.9903076258796616
Nr1d2	Cd5l	0.9902962631901887
Bcl11b	Nlgn2	0.9902849005007158
Zhx1	Dhrs1	0.9902773253744006
Atf5	Trat1	0.9902508124322973
Egr3	Mdn1	0.9902318746165092
Hes6	Ndst1	0.9902091492375635
Klf10	Aqp3	0.9902091492375635
Klf3	Id2	0.9901902114217754
Atf2	Ankrd13c	0.9901826362954602
Crem	Epc1	0.9901712736059873
Mga	Ier3	0.9900993099059927
Rorc	Ptprf	0.9900841596533623
Foxp1	Gap43	0.990057646711259
Phf20	Tle1	0.9900311337691556
Mafg	Slc4a8	0.990027346205998
Tef	Marcks	0.9899743203217913
Nfat5	Hspa4l	0.9899515949428457
Cic	Kctd14	0.9899061441849543
Fos	Tmbim1	0.9898947814954815
Mef2d	Cnot1	0.9898834188060086
Klf10	Nsmaf	0.9898796312428509
Dzip1	Bambi	0.9898758436796934
Zfp280c	Ppic	0.9898606934270628
Ncoa1	Mtss1	0.9898493307375901
Zfp426	Alcam	0.9898114551060139
Zfp617	Ppm1d	0.9898114551060139
Ski	Ss18	0.9897963048533834
Klf10	Adam19	0.9897925172902258
Mxi1	Gusb	0.9897925172902258
Zfp688	Igf2r	0.9897887297270682
Son	Vdac1	0.9897660043481225
Sp100	Icam1	0.9897622167849649
Gtf2ird1	Tulp3	0.9897546416586497
Sp3	Pstpip1	0.989750854095492
Ncoa3	Satb1	0.9897432789691768
Tcf12	Lrba	0.9897357038428616
Lef1	Parp8	0.9897281287165464
Nr1h2	Rabggta	0.9897281287165464
Litaf	Casp3	0.9897129784639159
Zbtb32	Zdhhc2	0.9896675277060245
Zbtb7a	Ptprf	0.9896675277060245
Dzip1	Socs2	0.9896637401428668
Eea1	Tnrc6a	0.9896637401428668
Tulp3	Il2ra	0.9896599525797093
Rel	Slc16a6	0.9896448023270789
Ash1l	Son	0.9896296520744483
Mef2d	Id2	0.9895766261902417
Creb3l2	Rpgrip1	0.9895198127428775
Tsc22d1	Dzip1	0.9895084500534046
Srebf2	Rpl24	0.9894932998007742
Cic	Lpxn	0.9894857246744589
Lef1	Cd79b	0.9894857246744589
Sox4	Ifnar1	0.9894857246744589
Fos	Impa2	0.9894289112270948
Zfp688	Bbc3	0.989406185848149
Fos	Exo1	0.9893834604692033
Nfkb1	Ninj1	0.9893569475271
Zfp688	Tnfsf4	0.9893114967692086
Zfp568	Dnmt3b	0.989307709206051
Mxd4	Utp20	0.9892849838271053
Fosl1	Enah	0.9892811962639477
Cebpb	Csf2	0.9892622584481596
Ahr	Ick	0.989258470885002
Zbtb1	Mapkapk2	0.989258470885002
Gabpa	Hexb	0.9892243828165834
Stat3	Skap2	0.989209232563953
Ski	Stx1a	0.9892016574376378
Mef2d	Vdac1	0.9891940823113226
Aebp2	Slc6a6	0.9891827196218497
