TF	Target	combined_confidence
Ncoa3	Ets1	0.9878356131355789
Zfp202	Nrp1	0.987828078674839
Tulp3	Lta	0.9878243114444691
Mga	Tes	0.9878167769837294
Runx1	Cxcr6	0.9878167769837294
Zfp386	Zadh2	0.9878167769837294
Kdm5b	Utrn	0.9877678029889205
Cux1	Rtn4	0.9877565012978109
Atf6	Decr1	0.987748966837071
Zfp90	Plk2	0.9877338979155914
Zfp35	Dffb	0.9877150617637419
Irf9	Gpr146	0.9876547860778234
Bhlhe40	Ski	0.9876434843867137
Sp3	Grina	0.9876434843867137
Foxo1	Vps37b	0.9876020448526448
Srebf1	H1f0	0.9875982776222749
Zfp281	Map3k1	0.9875982776222749
Satb1	Rab21	0.9875643725489457
Ets1	Il17a	0.9875530708578361
Nr3c1	Pdcd1	0.9875455363970962
Mbd3	Ucp2	0.9875304674756166
E2f1	Rfwd3	0.9875267002452467
Stat2	Kctd14	0.987515398554137
Cic	Dst	0.9875078640933972
Foxn2	Vav3	0.9874701917896981
Bbx	Iqgap2	0.9874664245593282
Rxrb	Mfge8	0.9874664245593282
Son	Syce2	0.9874551228682185
Stat3	Klf3	0.9874249850252593
Nfkb2	Arid3a	0.9874174505645195
Mef2d	Rnh1	0.9874099161037797
Satb1	Itga3	0.9874099161037797
Terf1	Ptpre	0.98739861441267
Litaf	Serpinb6b	0.9873684765697107
Fosl1	Ubtd1	0.987357174878601
Atf6b	Crip1	0.9873458731874913
Klf10	Nsmaf	0.9873458731874913
Bbx	Acsl4	0.9873383387267515
Atf5	Nsf	0.9873308042660117
Mafg	Ahr	0.9873119681141621
Cic	Nek6	0.9873006664230525
Mga	Anxa4	0.9872742958104631
Nfil3	Klf7	0.9872742958104631
Zzz3	Rnh1	0.9872554596586136
Dzip1	Nsg2	0.9872479251978737
Hbp1	Lrmp	0.9872479251978737
Erf	Ptpn2	0.9872441579675039
Fosl2	Akr1c12	0.9872366235067641
Ski	Stab1	0.9872328562763941
Irf8	Perp	0.9872177873549145
Hif3a	Ifi203	0.9872140201245446
Irf4	Nfkbia	0.9871688133601058
Cdc5l	Lpin2	0.9871537444386261
Ncoa1	Mtss1	0.9871311410564068
Egr2	Cxcr6	0.987078399831228
Gabpa	Stat5b	0.9870708653704883
Arid2	Exosc8	0.9870633309097485
Adnp	Klf13	0.9870331930667893
Cic	Tubb6	0.9870218913756795
Fosl1	Ctsb	0.9870068224541999
Egr3	Dhrs1	0.98700305522383
Mtf2	BC029722	0.9869917535327203
Zfp688	Bbc3	0.9869729173808708
Hif1a	Ltb	0.9869691501505009
Stat2	Aqp3	0.9869691501505009
Atf6b	Sf3b3	0.9869503139986513
Cux1	Oxct1	0.9869390123075417
